Manufacturer,Model,Speed,Description,Cost,Installation,Profit Margin,Min Volume,Max Volume,Total Machine Cost
Canon,i-SENSYS MF754Cdw,33ppm,A4 Colour Printer,£500.00,200,150,5000,10000,£850.00
Canon,imageRUNNER ADVANCE DX C568iF,60ppm,A4 Colour Printer,"£3,500.00",300,350,10000,20000,"£4,150.00"
Canon,i-SENSYS MF754Cdw,33ppm,A4 Colour Multifunctional Device,£500.00,200,150,4000,8000,£850.00
Canon,imageRUNNER ADVANCE DX C259i,25ppm,A4 Colour Multifunctional Device,"£2,000.00",250,250,6000,12000,"£2,500.00"
Canon,imageRUNNER ADVANCE DX C359i,35ppm,A4 Colour Multifunctional Device,"£2,500.00",250,250,6000,15000,"£3,000.00"
Canon,imageRUNNER ADVANCE DX C568iF,60ppm,A4 Colour Multifunctional Device,"£3,500.00",300,350,6000,20000,"£4,150.00"
Canon,imageRUNNER C3326i,26ppm,A3 Colour Multifunctional Device,"£3,000.00",275,300,6001,13000,"£3,575.00"
Canon,imageRUNNER ADVANCE DX C3922i,22ppm,A3 Colour Multifunctional Device,"£3,500.00",275,300,13001,20000,"£4,075.00"
Canon,imageRUNNER ADVANCE DX C3930i,30ppm,A3 Colour Multifunctional Device,"£4,000.00",300,350,20001,30000,"£4,650.00"
Canon,imageRUNNER ADVANCE DX C3800 Series,30ppm,SRA3 Colour Multifunctional Device,"£4,500.00",300,350,30001,40000,"£5,150.00"
