Manufacturer,Model,Speed,Description,Cost,Installation,Profit Margin,Min Volume,Max Volume,Total Machine Cost
Ricoh,P C600,40ppm,A4 Colour Printer,£750.00,250,200,5000,10000,"£1,200.00"
Ricoh,IM C400F,42ppm,A4 Colour Printer,£850.00,250,250,10000,15000,"£1,350.00"
Ricoh,IM C400F,42ppm,A4 Colour Multifunctional Device,£850.00,250,250,4000,8000,"£1,350.00"
Ricoh,IM C2510,25ppm,A4 Colour Multifunctional Device,"£3,200.00",275,275,6001,13000,"£3,750.00"
Ricoh,IM C3010,30ppm,A4 Colour Multifunctional Device,"£3,800.00",275,300,13001,20000,"£4,375.00"
Ricoh,IM C3510,35ppm,A3 Colour Multifunctional Device,"£4,200.00",275,300,20001,30000,"£4,775.00"
Ricoh,IM C4510,45ppm,A3 Colour Multifunctional Device,"£4,800.00",300,325,30001,40000,"£5,425.00"
Ricoh,IM C5510,55ppm,A3 Colour Multifunctional Device,"£5,500.00",300,350,40001,50000,"£6,150.00"
Ricoh,IM C6010,60ppm,SRA3 Colour Multifunctional Device,"£6,200.00",300,350,50001,60000,"£6,850.00"
Ricoh,IM C7010,70ppm,SRA3 Colour Multifunctional Device,"£7,500.00",300,375,60001,70000,"£8,175.00"
