Manufacturer,Model,Speed,Description,Cost,Installation,Profit Margin,Min Volume,Max Volume,Total Machine Cost
Sharp,MX-C358F,33ppm,A4 Colour Printer,£600.00,200,150,5000,10000,£950.00
Sharp,MX-C428P,40ppm,A4 Colour Printer,£750.00,250,200,10000,15000,"£1,200.00"
Sharp,MX-C358F,33ppm,A4 Colour Multifunctional Device,£600.00,200,150,4000,8000,£950.00
Sharp,MX-C358F,33ppm,A4 Colour Multifunctional Device,£600.00,200,150,6000,12000,£950.00
Sharp,MX-C428P,40ppm,A4 Colour Multifunctional Device,£750.00,250,200,6000,15000,"£1,200.00"
Sharp,BP-30C25T,25ppm,A3 Colour Multifunctional Device,"£2,800.00",250,250,6001,13000,"£3,300.00"
Sharp,BP-30C25T,25ppm,SRA3 Colour Multifunctional Device,"£2,800.00",250,250,13001,20000,"£3,300.00"
Sharp,MX-3070N,30ppm,SRA3 Colour Multifunctional Device,"£3,200.00",275,275,20001,30000,"£3,750.00"
Sharp,MX-4070N,36ppm,SRA3 Colour Multifunctional Device,"£3,800.00",275,300,30001,40000,"£4,375.00"
Sharp,MX-7580N,75ppm,SRA3 Colour Multifunctional Device,"£7,200.00",300,350,60001,70000,"£7,850.00"
